Date,Open,High,Low,Close,Adj Close,Volume
2010-07-16,0.04951,0.04951,0.04951,0.04951,0.04951,0
2010-07-17,0.04951,0.08585,0.05941,0.08584,0.08584,5
2010-07-18,0.08584,0.09307,0.07723,0.0808,0.0808,49
2010-07-19,0.0808,0.08181,0.07426,0.07474,0.07474,20
2010-07-20,0.07474,0.07921,0.06634,0.07921,0.07921,42
2010-07-21,0.07921,0.08181,0.0505,0.0505,0.0505,129
2010-07-22,0.0505,0.06767,0.0505,0.06262,0.06262,141
2010-07-23,0.06262,0.06161,0.05049,0.05454,0.05454,26
2010-07-24,0.05454,0.05941,0.0505,0.0505,0.0505,85
2010-07-25,0.0505,0.056,0.05,0.056,0.056,46
2010-07-26,0.056,0.0605,0.053,0.06,0.06,196
2010-07-27,0.06,0.062,0.054,0.0589,0.0589,255
2010-07-28,0.0589,0.0699,0.0571,0.0699,0.0699,528
2010-07-29,0.0699,0.0698,0.0582,0.0627,0.0627,198
2010-07-30,0.0627,0.06889,0.056,0.06785,0.06785,243
2010-07-31,0.06785,0.065,0.06,0.0611,0.0611,162
2010-08-01,0.0611,0.0633,0.06,0.06,0.06,221
2010-08-02,0.06,0.065,0.059,0.06,0.06,606
2010-08-03,0.06,0.06231,0.057,0.057,0.057,210
2010-08-04,0.057,0.061,0.058,0.061,0.061,303
2010-08-05,0.061,0.0624,0.0607,0.0623,0.0623,85
2010-08-06,0.0623,0.0622,0.059,0.059,0.059,157
2010-08-07,0.059,0.061,0.059,0.0609,0.0609,132
2010-08-08,0.0609,0.0735,0.0593,0.071,0.071,886
2010-08-09,0.071,0.0709,0.06651,0.07,0.07,88
2010-08-10,0.07,0.07541,0.06,0.067,0.067,1015
2010-08-11,0.067,0.07,0.06141,0.07,0.07,134
2010-08-12,0.07,0.068,0.0645,0.0645,0.0645,233
2010-08-13,0.0645,0.0695,0.0645,0.067,0.067,295
2010-08-14,0.067,0.067,0.065,0.06529,0.06529,294
2010-08-15,0.06529,0.0679,0.062,0.0655,0.0655,696
2010-08-16,0.0655,0.0769,0.06243,0.07,0.07,915
2010-08-17,0.07,0.0733,0.067,0.068,0.068,203
2010-08-18,0.068,0.0679,0.0667,0.0667,0.0667,50
2010-08-19,0.0667,0.0667,0.065,0.0655,0.0655,276
2010-08-20,0.0655,0.0669,0.0644,0.0664,0.0664,688
2010-08-21,0.0664,0.0664,0.0612,0.066,0.066,1183
2010-08-22,0.066,0.06689,0.063,0.06491,0.06491,281
2010-08-23,0.06491,0.0665,0.06491,0.065,0.065,444
2010-08-24,0.065,0.0665,0.0641,0.0648,0.0648,278
2010-08-25,0.0648,0.0658,0.064,0.064,0.064,251
2010-08-26,0.064,0.065,0.063,0.065,0.065,583
2010-08-27,0.065,0.065,0.0641,0.0641,0.0641,399
2010-08-28,0.0641,0.0648,0.064,0.064,0.064,204
2010-08-29,0.064,0.069,0.03211,0.06497,0.06497,2135
2010-08-30,0.06497,0.0649,0.06,0.06,0.06,933
2010-08-31,0.06,0.0629,0.05961,0.0629,0.0629,436
2010-09-01,0.0629,0.0634,0.0601,0.0634,0.0634,498
2010-09-02,0.0634,0.063,0.06085,0.06085,0.06085,54
2010-09-03,0.06085,0.06238,0.0612,0.06238,0.06238,202
2010-09-04,0.06238,0.064,0.0605,0.0616,0.0616,527
2010-09-05,0.0616,0.0627,0.0616,0.0616,0.0616,56
2010-09-06,0.0616,0.06201,0.0603,0.061,0.061,212
2010-09-07,0.061,0.062,0.06099,0.062,0.062,143
2010-09-08,0.062,0.0624,0.06109,0.06111,0.06111,107
2010-09-09,0.06111,0.0618,0.06014,0.0618,0.0618,301
2010-09-10,0.0618,0.065,0.0619,0.06366,0.06366,491
2010-09-11,0.06366,0.0621,0.0615,0.0615,0.0615,48
2010-09-12,0.0615,0.064,0.0607,0.06219,0.06219,632
2010-09-13,0.06219,0.175,0.061,0.06199,0.06199,876
2010-09-14,0.06199,0.0625,0.0604,0.0604,0.0604,223
2010-09-15,0.0604,0.0619,0.0618,0.0619,0.0619,45
2010-09-16,0.0619,0.0609,0.059,0.059,0.059,438
2010-09-17,0.059,0.061,0.05761,0.061,0.061,427
2010-09-18,0.061,0.0627,0.06,0.0627,0.0627,797
2010-09-19,0.0627,0.0634,0.062,0.0621,0.0621,891
2010-09-20,0.0621,0.0633,0.0623,0.06265,0.06265,359
2010-09-21,0.06265,0.0624,0.06147,0.0622,0.0622,717
2010-09-22,0.0622,0.063,0.0615,0.06231,0.06231,970
2010-09-23,0.06231,0.0624,0.06209,0.0622,0.0622,42
2010-09-24,0.0622,0.0624,0.0617,0.06202,0.06202,133
